InventoryID,DateKey,ProductID,RegionID,OpeningStock,ClosingStock
I000114,20221219,P0359,59,1461,93
I000115,20251105,P0459,94,4843,1076
I000116,20230317,P0312,120,2265,1935
I000117,20220403,P0158,93,622,1578
I000118,20240413,P0258,113,429,2029
I000119,20240501,P0277,40,2410,2403
I000120,20250614,P0432,34,3036,918
I000121,20251006,P0487,3,393,711
I000122,20230420,P0014,66,2596,673
I000123,20230122,P0103,90,719,3074
I000124,20221230,P0487,33,3807,892
I000125,20220401,P0177,47,2078,812
I000126,20230406,P0139,74,3278,509
I000127,20251113,P0378,34,3989,2112
I000128,20250823,P0200,123,1958,2283
I000129,20250805,P0302,42,4940,504
I000130,20250906,P0317,82,3707,518
I000131,20220616,P0038,10,2504,2006
I000132,20220218,P0031,145,3837,112
I000133,20230125,P0075,69,2081,797
I000134,20241209,P0218,45,3796,3781
I000135,20231025,P0242,85,3109,3124
I000136,20231022,P0053,115,700,1474
I000137,20231028,P0465,116,4662,3476
I000138,20231212,P0216,23,1706,2267
I000139,20250401,P0372,66,4945,1428
I000140,20220803,P0248,60,3646,3937
I000141,20230211,P0015,56,1566,1093
I000142,20220420,P0084,130,4218,3858
I000143,20240619,P0207,74,4318,2199
I000144,20220205,P0263,59,2505,465
I000145,20250916,P0349,87,3176,808
I000146,20230404,P0476,99,1085,1941
I000147,20241106,P0478,86,2145,1095
I000148,20250224,P0091,33,4792,109
I000149,20220108,P0155,79,3840,2850
I000150,20250205,P0378,28,1656,3240
I000151,20230930,P0124,74,2039,960
I000152,20220526,P0351,51,3503,171
I000153,20251005,P0365,101,3382,1087
I000154,20220829,P0384,111,626,893
I000155,20220111,P0380,37,4772,3328
I000156,20220524,P0215,10,2808,2789
I000157,20220504,P0096,67,4142,3268
I000158,20241031,P0415,70,3704,2808
I000159,20240711,P0413,62,4766,397
I000160,20250711,P0370,132,3311,382
I000161,20250128,P0410,81,4388,2651
I000162,20251029,P0320,87,477,2569
I000163,20251003,P0074,75,2038,210
I000164,20230129,P0036,81,2722,3627
I000165,20230923,P0327,130,3666,419
I000166,20240503,P0353,12,3485,2591
I000167,20250706,P0309,5,3137,3897
I000168,20230321,P0460,144,928,1474
I000169,20220927,P0334,21,2232,2625
I000170,20251108,P0492,33,3187,3586
I000171,20241219,P0432,53,4061,3789
I000172,20250703,P0295,2,2642,1210
I000173,20220801,P0474,145,2007,176
I000174,20230320,P0146,95,4731,3541
I000175,20230606,P0302,84,1397,1462
I000176,20231112,P0457,72,3155,1041
I000177,20240226,P0031,67,2144,837
I000178,20230612,P0346,117,4166,2033
I000179,20240411,P0087,18,3956,103
I000180,20230829,P0008,29,2053,450
I000181,20220519,P0006,134,4483,3836
I000182,20230126,P0009,104,3125,1963
I000183,20220118,P0404,141,748,3706
I000184,20240207,P0206,115,3263,184
I000185,20230719,P0012,57,4559,2513
I000186,20220723,P0123,128,4831,1107
I000187,20240504,P0310,27,2381,1803
I000188,20250102,P0114,138,1220,3670
I000189,20240315,P0273,28,2515,730
I000190,20230324,P0252,58,3670,3396
I000191,20220923,P0204,90,3940,2462
I000192,20231016,P0119,72,1759,978
I000193,20220220,P0472,36,4530,3147
I000194,20250129,P0376,130,3464,374
I000195,20250916,P0332,73,4640,1121
I000196,20230926,P0323,114,2528,1382
I000197,20250729,P0337,60,3636,947
I000198,20251226,P0141,71,2117,1987
I000199,20240922,P0487,74,2564,2292
I000200,20231111,P0002,6,4592,1750
I000201,20240819,P0482,96,740,2120
I000202,20221207,P0219,142,4653,1418
I000203,20240914,P0401,88,4896,3272
I000204,20240808,P0021,77,2607,1108
I000205,20240826,P0092,101,4191,3303
I000206,20220916,P0432,103,3209,2611
I000207,20250711,P0276,18,3202,1068
I000208,20230416,P0080,48,4495,154
I000209,20220531,P0340,7,2598,2424
I000210,20250702,P0102,43,2409,1279
I000211,20230123,P0095,54,2229,1550
I000212,20230528,P0303,73,4361,275
I000213,20230511,P0139,109,2533,3826
I000214,20230512,P0054,143,3194,3548
I000215,20241221,P0322,95,3935,2377
I000216,20231004,P0500,84,1679,3854
I000217,20221223,P0389,4,1260,1457
I000218,20240229,P0472,33,3189,2818
I000219,20250716,P0096,14,2269,458
I000220,20220301,P0393,47,215,1901
I000221,20220416,P0457,50,916,1881
I000222,20230331,P0210,131,450,1244
I000223,20240811,P0091,93,2017,3426
I000224,20230101,P0007,114,1495,2342
I000225,20220604,P0113,74,1214,2408
I000226,20241221,P0359,17,4139,454
I000227,20251120,P0359,145,810,2841
I000228,20240229,P0114,16,4585,1279
I000229,20230212,P0002,2,1756,105
I000230,20240423,P0375,66,809,1631
I000231,20241231,P0486,22,2063,2035
I000232,20220304,P0192,104,1810,2842
I000233,20220902,P0096,19,2088,831
I000234,20251129,P0015,91,4753,1635
I000235,20220821,P0493,92,3009,3363
I000236,20250314,P0075,141,3778,3343
I000237,20250503,P0231,146,1108,1019
I000238,20220406,P0135,52,4080,1191
I000239,20220911,P0214,34,2909,88
I000240,20221101,P0071,77,433,220
I000241,20240305,P0312,100,3964,3029
I000242,20250802,P0298,51,3426,2289
I000243,20241113,P0126,101,3170,1605
I000244,20250119,P0218,117,2631,510
I000245,20240727,P0350,45,3856,2561
I000246,20230704,P0228,55,3087,148
I000247,20240827,P0024,60,3650,3272
I000248,20241225,P0058,83,923,1398
I000249,20250427,P0149,62,1532,446
I000250,20230117,P0208,102,4086,1241
I000251,20241107,P0278,131,3041,1064
I000252,20230312,P0097,65,1653,776
I000253,20250708,P0400,110,2858,2977
I000254,20241127,P0164,96,4849,179
I000255,20230509,P0440,41,1833,1890
I000256,20220115,P0253,21,2428,2090
I000257,20230304,P0133,37,3970,2388
I000258,20230530,P0476,47,4461,2870
I000259,20250205,P0323,63,539,2635
I000260,20251123,P0421,144,2459,1305
I000261,20231104,P0166,125,1947,3717
I000262,20220425,P0172,97,3960,3423
I000263,20230905,P0164,36,551,3416
I000264,20251201,P0171,122,3029,715
I000265,20230106,P0490,63,1320,1882
I000266,20240428,P0347,96,1345,2640
I000267,20220122,P0451,110,4163,3524
I000268,20220617,P0500,20,173,3909
I000269,20220401,P0356,120,521,2698
I000270,20250201,P0018,61,3338,1118
I000271,20230929,P0044,137,3867,3714
I000272,20250214,P0424,28,3591,646
I000273,20220219,P0241,32,1316,1892
I000274,20250812,P0335,122,4696,2059
I000275,20230303,P0156,39,2493,2596
I000276,20250706,P0273,93,3486,3805
I000277,20240208,P0474,86,3938,3977
I000278,20221112,P0275,145,1647,1302
I000279,20240421,P0134,64,2361,990
I000280,20230429,P0383,32,2938,2147
I000281,20250430,P0435,57,1485,3824
I000282,20241228,P0081,24,2418,1182
I000283,20240107,P0047,15,1401,3457
I000284,20230403,P0103,114,2977,238
I000285,20220105,P0434,9,4490,1232
I000286,20250501,P0476,144,4938,3024
I000287,20230406,P0276,96,3103,2140
I000288,20230211,P0066,27,1345,2616
I000289,20231212,P0303,85,4492,3561
I000290,20230318,P0268,116,3059,1983
I000291,20230821,P0426,112,1962,3909
I000292,20230605,P0423,93,3580,2364
I000293,20240106,P0075,107,1372,676
I000294,20220417,P0452,78,487,2872
I000295,20220624,P0473,146,4470,3659
I000296,20241115,P0249,91,2402,2471
I000297,20240930,P0290,78,1130,1245
I000298,20230401,P0180,88,2049,2483
I000299,20240420,P0171,81,2514,2420
I000300,20240130,P0049,112,1524,333
I000301,20220511,P0161,111,1691,524
I000302,20220726,P0182,2,506,865
I000303,20251105,P0251,140,3555,1098
I000304,20240305,P0377,133,2463,1032
I000305,20230401,P0315,133,4670,1476
I000306,20250512,P0041,107,805,1384
I000307,20240702,P0485,98,2421,1213
I000308,20240724,P0326,131,3801,2681
I000309,20240313,P0122,150,934,1403
I000310,20220707,P0398,19,3188,2633
I000311,20240830,P0345,58,3833,3943
I000312,20241216,P0078,29,2625,1381
I000313,20230102,P0203,64,2335,3547
I000314,20240102,P0273,113,3252,2827
I000315,20220518,P0045,24,2248,1671
I000316,20231014,P0048,53,4446,958
I000317,20241109,P0061,121,2275,2117
I000318,20250713,P0102,78,1624,2062
I000319,20240703,P0215,23,1958,1271
I000320,20251008,P0144,39,1731,2052
I000321,20251112,P0305,102,2808,292
I000322,20220722,P0236,146,2756,2638
I000323,20250819,P0487,110,970,1452
I000324,20221127,P0101,16,171,1034
I000325,20250904,P0497,128,323,1314
I000326,20220630,P0410,93,1629,1805
I000327,20250611,P0411,107,3664,1873
I000328,20230815,P0162,5,2572,3977
I000329,20240416,P0281,39,1351,2038
I000330,20250924,P0139,34,4379,1687
I000331,20231103,P0063,7,1303,196
I000332,20250424,P0286,146,209,1335
I000333,20220412,P0402,147,3971,911
I000334,20220128,P0379,113,411,3552
I000335,20221103,P0438,64,1866,1536
I000336,20220223,P0068,139,4151,3612
I000337,20250530,P0484,63,267,3149
I000338,20241217,P0170,28,3856,1870
I000339,20231114,P0057,35,1032,2159
I000340,20221123,P0415,104,556,3116
I000341,20240622,P0178,95,4532,2632
I000342,20251115,P0435,50,2430,2726
I000343,20220114,P0269,113,3577,3609
I000344,20230101,P0499,71,3235,3123
I000345,20240622,P0356,109,959,2651
I000346,20230713,P0363,107,4148,2647
I000347,20231104,P0006,138,4615,811
I000348,20251126,P0130,55,4760,2935
I000349,20250330,P0415,69,2655,1973
I000350,20220510,P0148,98,384,3145
I000351,20250209,P0458,145,422,1097
I000352,20230619,P0256,20,234,1221
I000353,20250317,P0195,12,1549,529
I000354,20220223,P0254,103,2580,516
I000355,20240414,P0018,148,4390,1870
I000356,20240408,P0234,12,2896,3640
I000357,20230507,P0309,72,2904,3108
I000358,20241207,P0305,130,4946,2779
I000359,20241110,P0373,73,2306,851
I000360,20220126,P0320,68,1759,790
I000361,20241206,P0277,2,2150,309
I000362,20230418,P0314,34,1640,2763
I000363,20240408,P0493,63,3706,2112
I000364,20220506,P0372,122,3503,3334
I000365,20231116,P0392,111,4421,1745
I000366,20251012,P0317,27,1160,3571
I000367,20230902,P0377,20,402,3063
I000368,20240607,P0457,95,753,972
I000369,20240705,P0350,78,1596,3354
I000370,20220219,P0093,77,1147,1796
I000371,20220226,P0465,96,3288,350
I000372,20240724,P0208,22,238,3528
I000373,20221103,P0265,81,1618,2926
I000374,20231226,P0441,121,4908,2412
I000375,20230517,P0042,56,3791,2042
I000376,20230521,P0008,45,4285,2009
I000377,20250109,P0036,96,824,2310
I000378,20250124,P0173,144,1821,549
I000379,20240119,P0369,108,494,2415
I000380,20230215,P0356,96,4334,1786
I000381,20240104,P0256,129,2393,3532
I000382,20240807,P0043,89,2169,840
I000383,20250723,P0059,92,1631,3919
I000384,20230804,P0072,30,1616,2366
I000385,20240101,P0138,73,4977,3707
I000386,20221210,P0404,136,3771,1433
I000387,20250416,P0357,126,3769,972
I000388,20251231,P0411,27,2280,739
I000389,20231125,P0452,66,358,1803
I000390,20230219,P0336,119,4361,1949
I000391,20250227,P0249,145,3077,718
I000392,20240314,P0101,128,1995,904
I000393,20240720,P0091,117,3709,812
I000394,20230701,P0415,139,136,1866
I000395,20230723,P0182,126,3226,2048
I000396,20241228,P0277,132,1995,3036
I000397,20240911,P0237,80,2399,887
I000398,20220518,P0380,145,2207,2562
I000399,20250518,P0304,49,950,1294
I000400,20220319,P0177,72,4468,2100
I000401,20220829,P0498,104,3674,3891
I000402,20231230,P0038,115,1555,1402
I000403,20231106,P0181,50,1197,3211
I000404,20221111,P0324,54,3979,1893
I000405,20251022,P0433,123,4552,1424
I000406,20251207,P0458,68,4687,2736
I000407,20240317,P0150,80,1758,3917
I000408,20250218,P0197,71,3476,1281
I000409,20230926,P0001,14,4408,1850
I000410,20240122,P0331,71,492,2605
I000411,20230211,P0258,97,451,861
I000412,20250925,P0121,64,3741,2472
I000413,20250724,P0438,130,3317,1262
I000414,20240710,P0427,65,2529,1624
I000415,20240609,P0446,33,551,3454
I000416,20240327,P0236,81,1218,3816
I000417,20240123,P0111,76,4485,3068
I000418,20220219,P0365,113,1106,1010
I000419,20241027,P0358,24,1842,1277
I000420,20240707,P0333,60,4528,3811
I000421,20250710,P0467,94,2495,1718
I000422,20250601,P0319,13,3548,3488
I000423,20230811,P0093,143,4103,1924
I000424,20230112,P0255,5,2419,2192
I000425,20250602,P0442,39,2305,1226
I000426,20241228,P0341,85,4289,3771
I000427,20240122,P0308,51,3252,1445
I000428,20240406,P0468,145,3204,2924
I000429,20250214,P0329,59,3743,159
I000430,20220627,P0071,100,614,379
I000431,20230114,P0070,90,3338,1495
I000432,20221006,P0444,38,2070,752
I000433,20220502,P0291,21,2682,2408
I000434,20220723,P0450,30,3309,3268
I000435,20241121,P0145,39,2540,638
I000436,20250719,P0297,144,1361,339
I000437,20221222,P0251,135,1988,3393
I000438,20240403,P0467,52,547,3225
I000439,20240326,P0120,63,156,1322
I000440,20251012,P0290,141,2003,286
I000441,20230322,P0264,29,1508,2576
I000442,20230210,P0114,49,138,2767
I000443,20241214,P0498,48,1256,2414
I000444,20230709,P0206,73,2502,2379
I000445,20250612,P0102,111,4535,3110
I000446,20230214,P0498,31,3521,810
I000447,20250204,P0414,7,4223,2593
I000448,20241119,P0056,118,1509,1429
I000449,20250428,P0061,44,3169,3627
I000450,20250624,P0362,119,708,1428
I000451,20220526,P0441,122,1371,2730
I000452,20251224,P0036,99,779,3725
I000453,20240508,P0054,12,759,623
I000454,20230922,P0372,36,1340,3190
I000455,20240704,P0494,121,2278,1355
I000456,20250917,P0434,31,1158,3437
I000457,20230920,P0027,111,540,1006
I000458,20220311,P0451,113,3883,3361
I000459,20230422,P0021,49,2042,2840
I000460,20220109,P0315,21,1090,3512
I000461,20240709,P0106,113,3253,391
I000462,20240125,P0286,104,1170,306
I000463,20250725,P0397,23,2548,1237
I000464,20230801,P0125,77,2430,2436
I000465,20220720,P0387,149,4582,3142
I000466,20240116,P0009,110,4450,102
I000467,20220925,P0047,40,4606,3533
I000468,20251109,P0495,11,2015,2473
I000469,20250626,P0442,1,2108,2970
I000470,20230711,P0414,40,1403,857
I000471,20250911,P0477,17,1078,3020
I000472,20240103,P0177,80,4741,1951
I000473,20230821,P0434,99,2466,942
I000474,20251111,P0031,125,4680,3053
I000475,20230916,P0011,59,4758,1557
I000476,20221206,P0157,147,4506,3720
I000477,20250622,P0250,7,1379,3262
I000478,20250405,P0154,118,2389,3858
I000479,20221231,P0358,6,1405,181
I000480,20220924,P0160,59,1012,2500
I000481,20220414,P0041,44,953,3859
I000482,20251217,P0463,150,411,420
I000483,20251207,P0081,93,3574,748
I000484,20230421,P0467,5,1180,2546
I000485,20250817,P0057,83,3228,3603
I000486,20230416,P0432,82,2402,402
I000487,20220810,P0153,141,4468,2652
I000488,20250220,P0349,81,2079,2767
I000489,20250124,P0272,142,4858,602
I000490,20220323,P0376,27,700,1639
I000491,20240905,P0091,107,3483,2807
I000492,20250117,P0374,146,2925,3936
I000493,20250216,P0243,117,4790,2685
I000494,20220518,P0208,50,3538,3453
I000495,20250517,P0059,11,123,3222
I000496,20221221,P0273,96,3602,2066
I000497,20220610,P0323,32,499,2380
I000498,20230815,P0048,115,3724,1502
I000499,20220316,P0072,77,1354,918
I000500,20230616,P0364,69,1681,3236
I000501,20240109,P0383,76,1550,207
I000502,20220801,P0155,144,3555,873
I000503,20220319,P0400,2,446,370
I000504,20231101,P0353,29,4878,1673
I000505,20250104,P0143,22,2188,3628
I000506,20240201,P0207,133,1209,675
I000507,20220124,P0276,96,1686,3991
I000508,20220713,P0002,53,2778,1566
I000509,20250408,P0335,63,3664,3419
I000510,20220518,P0492,41,4978,1839
I000511,20220227,P0454,11,1472,443
I000512,20220310,P0420,80,2030,1520
I000513,20230615,P0319,25,3460,1231
I000514,20240608,P0316,111,548,862
I000515,20230918,P0022,126,3107,375
I000516,20231112,P0393,140,1018,1983
I000517,20230912,P0238,60,1960,902
I000518,20251121,P0424,109,1096,550
I000519,20250920,P0427,77,3792,1897
I000520,20230515,P0037,51,2139,1340
I000521,20240703,P0179,16,2949,3976
I000522,20220916,P0441,112,1697,568
I000523,20230830,P0259,11,3858,1729
I000524,20240522,P0089,94,2181,3488
I000525,20241001,P0181,127,1997,3299
I000526,20230819,P0336,51,2994,777
I000527,20240331,P0011,148,3719,2544
I000528,20230206,P0349,127,1247,2127
I000529,20220814,P0002,140,3401,2022
I000530,20240223,P0459,102,3814,3654
I000531,20230712,P0090,94,2318,1825
I000532,20240827,P0337,7,3009,612
I000533,20231021,P0361,109,2287,3301
I000534,20230826,P0176,20,1010,1264
I000535,20220703,P0387,107,2079,1813
I000536,20240718,P0289,51,4472,3072
I000537,20230726,P0224,126,1540,1726
I000538,20230901,P0385,14,1624,2991
I000539,20240302,P0410,43,4757,2406
I000540,20221001,P0263,81,2331,1185
I000541,20240630,P0060,147,2165,1698
I000542,20221011,P0094,41,1492,3228
I000543,20230927,P0006,117,4152,2031
I000544,20221118,P0130,145,1944,1253
I000545,20220619,P0120,110,2995,3363
I000546,20220227,P0182,148,1758,2446
I000547,20251112,P0175,95,4289,2144
I000548,20240526,P0410,5,4557,3906
I000549,20230308,P0496,145,3022,1074
I000550,20220204,P0426,139,1958,1154
I000551,20221205,P0248,112,125,2598
I000552,20220305,P0030,109,4679,2343
I000553,20240818,P0152,48,4521,1015
I000554,20250327,P0401,48,4572,3604
I000555,20250605,P0461,59,3544,3089
I000556,20240328,P0370,25,2604,1655
I000557,20250321,P0479,100,4597,1991
I000558,20230107,P0341,7,3067,427
I000559,20230419,P0219,71,4652,3866
I000560,20230609,P0279,91,4180,1936
I000561,20251006,P0149,150,176,222
I000562,20241227,P0079,28,4542,2298
I000563,20220612,P0246,7,886,1032
I000564,20230907,P0187,111,457,87
I000565,20250411,P0154,91,871,3170
I000566,20220426,P0113,40,4660,2309
I000567,20230724,P0430,122,213,3066
I000568,20230514,P0107,74,1171,1221
I000569,20240916,P0241,10,622,1589
I000570,20250123,P0340,22,698,1025
I000571,20250913,P0403,54,1451,65
I000572,20230305,P0476,69,3692,2238
I000573,20240322,P0018,116,1859,1885
I000574,20251224,P0233,23,2303,3997
I000575,20220126,P0234,107,1337,822
I000576,20250727,P0460,44,1450,2622
I000577,20240826,P0385,70,540,1554
I000578,20220813,P0488,43,2832,1029
I000579,20221121,P0134,105,367,3139
I000580,20220809,P0023,34,3161,164
I000581,20240206,P0181,14,145,940
I000582,20240308,P0208,32,4153,54
I000583,20231024,P0378,128,3070,2102
I000584,20230615,P0019,122,468,1148
I000585,20250618,P0252,10,4115,3724
I000586,20220711,P0009,30,3347,336
I000587,20240413,P0393,90,2665,580
I000588,20220809,P0362,92,4042,3501
I000589,20220601,P0479,54,4582,323
I000590,20230925,P0013,80,1354,152
I000591,20250527,P0223,86,206,2669
I000592,20231128,P0189,91,1007,3747
I000593,20250415,P0280,3,811,640
I000594,20250728,P0158,122,4739,415
I000595,20220605,P0083,137,4358,949
I000596,20220314,P0389,119,3876,655
I000597,20240513,P0024,110,1065,1894
I000598,20230531,P0436,45,259,3961
I000599,20240220,P0291,141,2952,871
I000600,20251205,P0203,96,1436,1834
I000601,20230526,P0339,44,3518,3136
I000602,20250817,P0037,63,3125,510
I000603,20240427,P0265,114,2259,2415
I000604,20220314,P0188,14,3848,1348
I000605,20240330,P0047,43,2677,1990
I000606,20240813,P0280,143,2584,610
I000607,20220618,P0278,96,892,3601
I000608,20240819,P0184,94,1654,2377
I000609,20220508,P0454,70,1397,2035
I000610,20230420,P0039,67,2895,112
I000611,20220826,P0309,127,2483,2863
I000612,20240408,P0254,69,4976,3693
I000613,20230624,P0391,141,4113,1649
I000614,20231013,P0153,63,3591,2691
I000615,20220214,P0393,58,3295,2386
I000616,20241214,P0154,63,772,2399
I000617,20220418,P0284,102,973,3588
I000618,20230901,P0151,79,2489,3790
I000619,20230223,P0313,53,2041,3854
I000620,20220410,P0149,41,1283,528
I000621,20230717,P0344,57,2229,3026
I000622,20240523,P0314,43,253,846
I000623,20220810,P0095,125,3690,3924
I000624,20221125,P0311,147,3847,1783
I000625,20250121,P0344,105,3481,3779
I000626,20240111,P0368,6,147,1703
I000627,20230303,P0465,71,3158,2946
I000628,20231109,P0368,111,4370,2201
I000629,20230609,P0117,17,279,2901
I000630,20250304,P0476,52,4479,2991
I000631,20251017,P0297,131,3158,3217
I000632,20221012,P0141,8,2279,3343
I000633,20230529,P0469,114,3598,3322
I000634,20251009,P0388,19,3930,1242
I000635,20220209,P0041,54,2307,3706
I000636,20220304,P0188,65,2602,387
I000637,20221213,P0446,52,949,464
I000638,20250409,P0235,24,2059,2234
I000639,20250715,P0249,80,4321,1740
I000640,20231104,P0256,19,3072,306
I000641,20250502,P0350,28,196,3553
I000642,20231030,P0342,28,1336,851
I000643,20220303,P0202,83,2051,1748
I000644,20240128,P0090,66,3077,243
I000645,20230930,P0341,117,3978,2823
I000646,20221026,P0450,46,1880,2424
I000647,20250319,P0272,73,3963,349
I000648,20240422,P0010,83,500,2845
I000649,20240417,P0276,65,4387,983
I000650,20241017,P0127,141,4621,1697
I000651,20230125,P0368,65,4149,3775
I000652,20240513,P0228,80,1951,896
I000653,20240426,P0041,97,396,295
I000654,20220509,P0282,134,3397,2036
I000655,20250322,P0439,142,553,932
I000656,20220328,P0206,128,4509,2087
I000657,20220702,P0314,7,1317,2690
I000658,20230802,P0170,21,947,1284
I000659,20251005,P0467,118,2320,2543
I000660,20250615,P0315,4,2938,1242
I000661,20251217,P0408,134,2528,1192
I000662,20231224,P0194,72,1761,615
I000663,20250909,P0220,53,4124,433
I000664,20250922,P0038,121,1248,1727
I000665,20251231,P0003,120,1311,2887
I000666,20220228,P0088,126,3773,3606
I000667,20250516,P0018,68,640,1382
I000668,20220301,P0085,139,3605,2631
I000669,20220302,P0215,24,3578,307
I000670,20230922,P0478,98,3042,1970
I000671,20241214,P0146,34,1289,1587
I000672,20240814,P0415,111,1402,846
I000673,20220624,P0290,62,235,3846
I000674,20241216,P0363,1,2648,3492
I000675,20241229,P0323,55,656,98
I000676,20250421,P0268,113,3266,2727
I000677,20250915,P0221,111,4380,1468
I000678,20230620,P0018,123,4197,2432
I000679,20250118,P0326,18,3019,3246
I000680,20221021,P0240,14,1028,3757
I000681,20220223,P0289,48,1065,1070
I000682,20220825,P0349,6,2512,3807
I000683,20240812,P0498,40,4044,2130
I000684,20240930,P0040,32,3336,2914
I000685,20250529,P0048,59,3095,3633
I000686,20230321,P0323,142,2571,806
I000687,20250506,P0164,78,1210,377
I000688,20241117,P0177,83,2579,2673
I000689,20250907,P0072,55,1503,3721
I000690,20230317,P0095,34,3425,2254
I000691,20220127,P0075,35,566,1970
I000692,20241212,P0191,125,3445,2323
I000693,20221217,P0140,107,962,1165
I000694,20230703,P0149,138,4261,2807
I000695,20220616,P0008,28,2228,595
I000696,20221101,P0361,42,2186,2399
I000697,20231003,P0402,48,3105,3780
I000698,20221107,P0329,146,973,2319
I000699,20220903,P0222,100,3446,2970
I000700,20220707,P0311,51,4155,2487
I000701,20250405,P0122,144,2763,2544
I000702,20220824,P0427,17,2017,2532
I000703,20231212,P0358,61,2908,790
I000704,20241219,P0306,93,4303,402
I000705,20241011,P0433,52,1380,3481
I000706,20230515,P0422,76,1440,2214
I000707,20230124,P0005,66,3788,3497
I000708,20240314,P0483,59,3664,3288
I000709,20240304,P0038,126,2707,2832
I000710,20230130,P0002,6,3658,1920
